,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2016-02-03,1268,0.298,6782,0.454,1318506,0.523,0.399,3954268800,3954268800 ( 100.0% ),526680,526680 ( 100.0% ),4060796800,539688,1
1,2016-02-04,1418,0.301,7359,0.468,1420373,0.541,0.329,3496097100,-458171700 ( -11.6% ),466676,-60004 ( -11.4% ),7556893900,1006364,1
2,2016-02-05,1459,0.31,7809,0.477,1497344,0.55,0.407,4894823408,1398726308 ( 40.0% ),610145,143469 ( 30.7% ),12451717308,1616509,1
3,2016-02-06,1637,0.315,8632,0.489,1618995,0.556,0.584,7653425043,2758601635 ( 56.4% ),944998,334853 ( 54.9% ),20105142351,2561507,1
4,2016-02-07,1707,0.327,8804,0.504,1646338,0.572,0.471,6389238700,-1264186343 ( -16.5% ),775005,-169993 ( -18.0% ),26494381051,3336512,1
5,2016-02-08,1779,0.349,9253,0.536,1731940,0.609,0.55,7954107900,1564869200 ( 24.5% ),952387,177382 ( 22.9% ),34448488951,4288899,1
6,2016-02-09,1812,0.339,9451,0.531,1764348,0.603,0.669,9611023600,1656915700 ( 20.8% ),1180484,228097 ( 24.0% ),44059512551,5469383,1
7,2016-02-10,1785,0.344,9153,0.532,1713259,0.606,0.547,7513359900,-2097663700 ( -21.8% ),936414,-244070 ( -20.7% ),51572872451,6405797,1
8,2016-02-11,1516,0.314,8173,0.507,1568231,0.591,0.199,2327036500,-5186323400 ( -69.0% ),312671,-623743 ( -66.6% ),53899908951,6718468,1
9,2016-02-12,1532,0.315,8348,0.513,1600009,0.597,0.187,2379297672,52261172 ( 2.2% ),299735,-12936 ( -4.1% ),56279206623,7018203,1
10,2016-02-13,1649,0.308,8668,0.502,1638861,0.58,0.336,4440602241,2061304569 ( 86.6% ),551218,251483 ( 83.9% ),60719808864,7569421,1
11,2016-02-14,1631,0.309,8382,0.499,1587135,0.577,0.324,4136803900,-303798341 ( -6.8% ),513860,-37358 ( -6.8% ),64856612764,8083281,1
12,2016-02-15,1497,0.322,7761,0.516,1486447,0.596,0.111,1237142800,-2899661100 ( -70.1% ),165549,-348311 ( -67.8% ),66093755564,8248830,1
13,2016-02-16,1496,0.28,6555,0.425,1229897,0.481,0.115,1054486300,-182656500 ( -14.8% ),142041,-23508 ( -14.2% ),67148241864,8390871,1
14,2016-02-17,741,0.154,3171,0.193,571661,0.21,0.189,802126000,-252360300 ( -23.9% ),108167,-33874 ( -23.8% ),67950367864,8499038,2
15,2016-02-18,758,0.156,3165,0.191,566598,0.206,0.171,712935100,-89190900 ( -11.1% ),96683,-11484 ( -10.6% ),68663302964,8595721,2
16,2016-02-19,741,0.153,3168,0.187,562378,0.201,0.179,793652500,80717400 ( 11.3% ),100431,3748 ( 3.9% ),69456955464,8696152,2
17,2016-02-20,735,0.145,3165,0.181,548137,0.189,0.338,1486792000,693139500 ( 87.3% ),185021,84590 ( 84.2% ),70943747464,8881173,2
18,2016-02-21,739,0.146,3030,0.178,530628,0.188,0.317,1349246300,-137545700 ( -9.3% ),168127,-16894 ( -9.1% ),72292993764,9049300,2
19,2016-02-22,689,0.15,2881,0.178,499063,0.185,0.125,466855400,-882390900 ( -65.4% ),62612,-105515 ( -62.8% ),72759849164,9111912,2
20,2016-02-23,690,0.145,2833,0.174,492413,0.183,0.125,454881000,-11974400 ( -2.6% ),61439,-1173 ( -1.9% ),73214730164,9173351,3
21,2016-02-24,527,0.11,1898,0.118,321399,0.12,0.207,403291600,-51589400 ( -11.3% ),66549,5110 ( 8.3% ),73618021764,9239900,4
22,2016-02-25,446,0.082,1343,0.083,222918,0.082,0.171,283561500,-119730100 ( -29.7% ),38210,-28339 ( -42.6% ),73901583264,9278110,4
23,2016-02-26,467,0.083,1333,0.08,219160,0.079,0.177,307381600,23820100 ( 8.4% ),38765,555 ( 1.5% ),74208964864,9316875,5
24,2016-02-27,485,0.081,1297,0.075,202696,0.071,0.369,604486200,297104600 ( 96.7% ),74816,36051 ( 93.0% ),74813451064,9391691,5
25,2016-02-28,480,0.08,1270,0.076,196550,0.071,0.377,597233900,-7252300 ( -1.2% ),74138,-678 ( -0.9% ),75410684964,9465829,4
26,2016-02-29,449,0.08,1228,0.074,188157,0.068,0.231,325108400,-272125500 ( -45.6% ),43543,-30595 ( -41.3% ),75735793364,9509372,5
27,2016-03-01,475,0.081,1210,0.073,182044,0.066,0.387,563657000,238548600 ( 73.4% ),70426,26883 ( 61.7% ),76299450364,9579798,5
28,2016-03-02,430,0.085,1198,0.079,182017,0.072,0.087,120515400,-443141600 ( -78.6% ),15903,-54523 ( -77.4% ),76419965764,9595701,5
29,2016-03-03,322,0.062,644,0.042,89747,0.036,0.114,73711200,-46804200 ( -38.8% ),10262,-5641 ( -35.5% ),76493676964,9605963,7
30,2016-03-04,319,0.06,656,0.042,91306,0.035,0.119,91354300,17643100 ( 23.9% ),10889,627 ( 6.1% ),76585031264,9616852,7
31,2016-03-05,318,0.055,649,0.039,89064,0.032,0.283,214628800,123274500 ( 134.9% ),25219,14330 ( 131.6% ),76799660064,9642071,7
32,2016-03-06,312,0.055,624,0.039,85579,0.032,0.266,193410400,-21218400 ( -9.9% ),22728,-2491 ( -9.9% ),76993070464,9664799,7
33,2016-03-07,308,0.061,634,0.043,87508,0.036,0.089,58999900,-134410500 ( -69.5% ),7813,-14915 ( -65.6% ),77052070364,9672612,7
34,2016-03-08,312,0.061,621,0.043,85476,0.035,0.082,52854900,-6145000 ( -10.4% ),7021,-792 ( -10.1% ),77104925264,9679633,7
35,2016-03-09,300,0.059,617,0.043,85652,0.035,0.077,49647500,-3207400 ( -6.1% ),6636,-385 ( -5.5% ),77154572764,9686269,7
36,2016-03-10,113,0.024,182,0.012,23381,0.009,0.1,17447000,-32200500 ( -64.9% ),2346,-4290 ( -64.6% ),77172019764,9688615,11
37,2016-03-11,116,0.024,196,0.012,25473,0.01,0.099,20724000,3277000 ( 18.8% ),2522,176 ( 7.5% ),77192743764,9691137,13
38,2016-03-12,109,0.02,185,0.011,23787,0.008,0.177,35366300,14642300 ( 70.7% ),4214,1692 ( 67.1% ),77228110064,9695351,13
39,2016-03-13,112,0.021,178,0.011,22810,0.008,0.161,30710600,-4655700 ( -13.2% ),3680,-534 ( -12.7% ),77258820664,9699031,13
40,2016-03-14,104,0.022,174,0.012,22016,0.009,0.063,10162900,-20547700 ( -66.9% ),1381,-2299 ( -62.5% ),77268983564,9700412,12
41,2016-03-15,97,0.02,161,0.011,19980,0.008,0.052,7684500,-2478400 ( -24.4% ),1030,-351 ( -25.4% ),77276668064,9701442,14
42,2016-03-16,104,0.022,172,0.012,21634,0.009,0.056,8915500,1231000 ( 16.0% ),1206,176 ( 17.1% ),77285583564,9702648,13
