,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2019-05-30,1783,0.315,8262,0.462,1461863,0.529,0.389,4579290500,4519237500 ( 7525.4% ),568092,562494 ( 10048.1% ),4677727500,577954,1
1,2019-05-31,1826,0.326,8806,0.483,1553481,0.553,0.43,5893815975,1314525475 ( 28.7% ),667826,99734 ( 17.6% ),10571543475,1245780,1
2,2019-06-01,1927,0.332,9907,0.523,1734046,0.597,0.65,9909224473,4015408498 ( 68.1% ),1126677,458851 ( 68.7% ),20480767948,2372457,1
3,2019-06-02,1948,0.336,9820,0.531,1719057,0.604,0.579,8706733270,-1202491203 ( -12.1% ),994607,-132070 ( -11.7% ),29187501218,3367064,1
4,2019-06-03,1804,0.345,9196,0.528,1617395,0.599,0.236,3071603430,-5635129840 ( -64.7% ),382497,-612110 ( -61.5% ),32259104648,3749561,1
5,2019-06-04,1814,0.338,9193,0.528,1609901,0.596,0.217,2782574190,-289029240 ( -9.4% ),348723,-33774 ( -8.8% ),35041678838,4098284,1
6,2019-06-05,1700,0.298,8068,0.444,1383214,0.488,0.308,3435665860,653091670 ( 23.5% ),425745,77022 ( 22.1% ),38477344698,4524029,1
7,2019-06-06,1574,0.267,7975,0.41,1389997,0.462,0.598,7210821290,3775155430 ( 109.9% ),831644,405899 ( 95.3% ),45688165988,5355673,1
8,2019-06-07,1561,0.264,7877,0.408,1370051,0.459,0.379,4519273774,-2691547516 ( -37.3% ),519720,-311924 ( -37.5% ),50207439762,5875393,1
9,2019-06-08,1579,0.265,7958,0.405,1393383,0.458,0.458,5635004423,1115730649 ( 24.7% ),637591,117871 ( 22.7% ),55842444185,6512984,1
10,2019-06-09,1577,0.267,7736,0.406,1354680,0.458,0.376,4500961560,-1134042863 ( -20.1% ),509134,-128457 ( -20.1% ),60343405745,7022118,1
11,2019-06-10,1460,0.286,7287,0.418,1265901,0.468,0.154,1560319780,-2940641780 ( -65.3% ),194662,-314472 ( -61.8% ),61903725525,7216780,1
12,2019-06-11,1460,0.283,7251,0.418,1259143,0.467,0.125,1260270800,-300048980 ( -19.2% ),157774,-36888 ( -18.9% ),63163996325,7374554,1
13,2019-06-12,1217,0.243,5604,0.313,900847,0.322,0.162,1172366590,-87904210 ( -7.0% ),146216,-11558 ( -7.3% ),64336362915,7520770,1
14,2019-06-13,1170,0.216,5211,0.292,850549,0.306,0.16,1093021770,-79344820 ( -6.8% ),136195,-10021 ( -6.9% ),65429384685,7656965,1
15,2019-06-14,1194,0.214,5396,0.295,888113,0.312,0.189,1485706220,392684450 ( 35.9% ),168192,31997 ( 23.5% ),66915090905,7825157,1
16,2019-06-15,1206,0.199,5408,0.284,895258,0.306,0.312,2490643460,1004937240 ( 67.6% ),279036,110844 ( 65.9% ),69405734365,8104193,2
17,2019-06-16,1194,0.198,5297,0.282,884294,0.305,0.273,2175614880,-315028580 ( -12.6% ),241608,-37428 ( -13.4% ),71581349245,8345801,2
18,2019-06-17,1135,0.216,5240,0.301,868515,0.321,0.121,848174300,-1327440580 ( -61.0% ),105206,-136402 ( -56.5% ),72429523545,8451007,2
19,2019-06-18,1157,0.213,5214,0.301,861307,0.319,0.117,804249670,-43924630 ( -5.2% ),100700,-4506 ( -4.3% ),73233773215,8551707,2
20,2019-06-19,969,0.19,4159,0.234,639758,0.232,0.144,742575980,-61673690 ( -7.7% ),92169,-8531 ( -8.5% ),73976349195,8643876,3
21,2019-06-20,747,0.132,2780,0.148,406884,0.138,0.195,641665230,-100910750 ( -13.6% ),79310,-12859 ( -14.0% ),74618014425,8723186,4
22,2019-06-21,783,0.135,2872,0.15,411529,0.137,0.228,838396830,196731600 ( 30.7% ),94020,14710 ( 18.5% ),75456411255,8817206,4
23,2019-06-22,751,0.117,2451,0.122,330342,0.105,0.442,1304752130,466355300 ( 55.6% ),145862,51842 ( 55.1% ),76761163385,8963068,4
24,2019-06-23,769,0.119,2385,0.121,323871,0.106,0.411,1193849940,-110902190 ( -8.5% ),133264,-12598 ( -8.6% ),77955013325,9096332,4
25,2019-06-24,710,0.13,2682,0.146,364564,0.126,0.193,564327520,-629522420 ( -52.7% ),70449,-62815 ( -47.1% ),78519340845,9166781,3
26,2019-06-25,733,0.131,2691,0.146,366731,0.127,0.179,519563910,-44763610 ( -7.9% ),65725,-4724 ( -6.7% ),79038904755,9232506,3
27,2019-06-26,604,0.094,1441,0.077,187505,0.065,0.381,444699590,-74864320 ( -14.4% ),71362,5637 ( 8.6% ),79483604345,9303868,5
28,2019-06-27,569,0.094,1510,0.081,195937,0.068,0.237,365221300,-79478290 ( -17.9% ),46497,-24865 ( -34.8% ),79848825645,9350365,4
29,2019-06-28,614,0.1,1658,0.088,216942,0.074,0.232,440823590,75602290 ( 20.7% ),50343,3846 ( 8.3% ),80289649235,9400708,4
30,2019-06-29,642,0.095,1587,0.08,206890,0.068,0.439,809213330,368389740 ( 83.6% ),90791,40448 ( 80.3% ),81098862565,9491499,4
31,2019-06-30,650,0.097,1598,0.082,209232,0.07,0.413,763208620,-46004710 ( -5.7% ),86482,-4309 ( -4.7% ),81862071185,9577981,4
32,2019-07-01,625,0.094,1774,0.095,234989,0.081,0.172,324857040,-438351580 ( -57.4% ),40512,-45970 ( -53.2% ),82186928225,9618493,5
33,2019-07-02,446,0.076,912,0.049,107344,0.037,0.215,183117730,-141739310 ( -43.6% ),23038,-17474 ( -43.1% ),82370045955,9641531,4
34,2019-07-03,464,0.084,972,0.052,113935,0.04,0.196,178241150,-4876580 ( -2.7% ),22294,-744 ( -3.2% ),82548287105,9663825,4
35,2019-07-04,464,0.082,962,0.052,113923,0.04,0.194,176004620,-2236530 ( -1.3% ),22078,-216 ( -1.0% ),82724291725,9685903,4
36,2019-07-05,471,0.082,945,0.05,110977,0.038,0.223,218156710,42152090 ( 23.9% ),24797,2719 ( 12.3% ),82942448435,9710700,4
37,2019-07-06,410,0.07,762,0.039,87060,0.029,0.398,308185560,90028850 ( 41.3% ),34674,9877 ( 39.8% ),83250633995,9745374,4
38,2019-07-07,416,0.07,749,0.039,86291,0.029,0.352,268342490,-39843070 ( -12.9% ),30407,-4267 ( -12.3% ),83518976485,9775781,4
