,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2014-01-22,577,0.153,2672,0.193,525594,0.228,0.272,978767500,977171500 ( 61226.3% ),142843,142615 ( 62550.4% ),1174622500,174237,3
1,2014-01-23,588,0.151,2740,0.196,534715,0.23,0.259,947878000,-30889500 ( -3.2% ),138364,-4479 ( -3.1% ),2122500500,312601,2
2,2014-01-24,613,0.155,2909,0.202,560611,0.234,0.314,1285895000,338017000 ( 35.7% ),175833,37469 ( 27.1% ),3408395500,488434,2
3,2014-01-25,692,0.164,3070,0.204,582858,0.234,0.589,2534235000,1248340000 ( 97.1% ),343558,167725 ( 95.4% ),5942630500,831992,2
4,2014-01-26,685,0.165,2999,0.205,565277,0.233,0.59,2446435500,-87799500 ( -3.5% ),333768,-9790 ( -2.8% ),8389066000,1165760,2
5,2014-01-27,647,0.168,2968,0.211,576294,0.246,0.279,1103389000,-1343046500 ( -54.9% ),160582,-173186 ( -51.9% ),9492455000,1326342,2
6,2014-01-28,651,0.169,3002,0.212,581756,0.247,0.298,1183279500,79890500 ( 7.2% ),173540,12958 ( 8.1% ),10675734500,1499882,2
7,2014-01-29,674,0.161,3078,0.202,622297,0.246,0.428,1748403000,565123500 ( 47.8% ),266619,93079 ( 53.6% ),12424137500,1766501,2
8,2014-01-30,802,0.178,3423,0.217,673080,0.257,0.602,3054836000,1306433000 ( 74.7% ),405341,138722 ( 52.0% ),15478973500,2171842,2
9,2014-01-31,911,0.199,3791,0.24,735178,0.282,0.744,4198105500,1143269500 ( 37.4% ),546819,141478 ( 34.9% ),19677079000,2718661,1
10,2014-02-01,1027,0.215,4236,0.263,812261,0.305,0.81,4934766500,736661000 ( 17.5% ),657756,110937 ( 20.3% ),24611845500,3376417,1
11,2014-02-02,1007,0.214,4122,0.267,797541,0.312,0.707,4186488000,-748278500 ( -15.2% ),563776,-93980 ( -14.3% ),28798333500,3940193,2
12,2014-02-03,762,0.188,3541,0.246,721883,0.302,0.339,1692452000,-2494036000 ( -59.6% ),244977,-318799 ( -56.5% ),30490785500,4185170,1
13,2014-02-04,773,0.19,3533,0.252,719902,0.308,0.259,1282607500,-409844500 ( -24.2% ),186341,-58636 ( -23.9% ),31773393000,4371511,1
14,2014-02-05,773,0.19,3531,0.254,722819,0.311,0.243,1205090500,-77517000 ( -6.0% ),175659,-10682 ( -5.7% ),32978483500,4547170,1
15,2014-02-06,706,0.167,3409,0.239,726324,0.306,0.237,1173343000,-31747500 ( -2.6% ),171828,-3831 ( -2.2% ),34151826500,4718998,1
16,2014-02-07,725,0.171,3571,0.242,755328,0.309,0.273,1505555677,332212677 ( 28.3% ),205910,34082 ( 19.8% ),35657382177,4924908,1
